,Comments
263,i know they should but why you re not thinking practically i mean why you need so much space what will you store it s just some pictures and video and sometimes movies and you will of course delete them too except some private files nothing is kept permanently on the phone i have gb rom phone and it has gb free space although i m using sd card gb as my device supports i store songs some my personal files it makes convenient to transfer files
264,the tech realist and who are u decide that
265,bro pixel me unlimited storage free hai google photo pr
266,u get unlimited storage in google photos br so it s not a problem
267,ashwath salaskar you don t get unlimited storage on pixel google discontinued it in
268,in this age of cloud storage you really don t need it pixels get unlimited photo storage
269,me who using gb phone this is perfect for me i m gonna buy this
270,abi tech hahahaha right
271,the only dowside is the battery
272,this much storage is enough if because in pixel you get unlimited storage in google photos
273,if you have storage problem then buy a tb hard drive at keep your files in it not a fan of any brand just telling to solve the storage problem
274,pravin murthy it s actually a stupid excuse again androids have no issue with expandable storage br just grab a micro sd card reader or use usb otg br seriously android fanboys cry about using a powerbank too meanwhile apple users have no issues slapping on a thick magsafe case which is essentially a powerbank even after spending br storage and battery life is never an issue on android s
275,chinni diwakar stupid excuse they offer more free storage with unlimited google id s than any oem
276,they want people to buy their cloud storage for more storage
277,fast charge broo
278,ankur maity not anymore
279,the tech realist you stupid or just joking
280,they cant sell drive subscription if you have huge storage
281,u literally get unlimited storage on photos
282,its kept intentionally that way so that you take their cloud storage
283,end with must be an option with cost
284,they have unlimited storage in google photos i guess m
285,the tech realist oh really my phone is already filled up
286,abhi dahiya they have higher storage options in the usa at least all the way up to gb
287,the tech realist excuse of fanboys
288,yeah that stops me from buying a pixel phone
289,the tech realist why better camera get a dslr why better display get an actual display why better speakers get an actual sound system and connect using bt or jack your stupid statement aside the better camera sensors you have the better apps and games become your requirement gets raised you can t decently run a device now was once the standard become the next has done is job in last couple of years now it s time for
290,just get an external storage device br br you don t need that much storage on the device anyway
291,pravin murthyapple also do this
292,pravin murthy uh i mean isn t pixel also a flagship does it have a higher storage varient ig its similarly priced around k so
293,rithu gokul ktheir flagship pro at k still gets only gb
294,you gotta give something for your flagships
295,as of now the discounted pixel is a better buy but pixel a will go on sale too making it the best all rounder phone under k unless you re into heavy gaming
296,what s best smartphone under k inr for best camera
297,will be waiting for competitor devices to launch and see where it goes i think this year will be interesting for mobile devices
298,feel like owning it for the camera so im in group would love a detailed video photo test review
299,the gb pixel is available under k isn t that a better value br personally i think a with this storage option is overpriced it would have been a lot better if offered with gb since pixel gb is almost k many buyers would have considered a with gb at k also there are options like s fe with gb at almost k
300,i am also looking for upgrade after using mi note pro for years br got good job offer br br what s best smartphones for working professional girl in engineering br i have never used iphone but i have ipad br br budget k br need good camera br br what s best smartphones for engineering professional
301,saif nirob with time pixel will also sell for less the difference will be lt k always
302,wait for a discounted price it will happen real soon
303,eva girl iphone ya
304,retro tech iphone lelo varna motorola edge ultra
305,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
306,what s best smartphone under k k for camera for year stable use
307,ultra legend i said you will get user experience better than these premium flagship but we all know if you want to get the same thing you have to spend double and tht is for the brand value like apple samsung and pixel
308,nizar nadirsha who told you that it doesnt feel premium
309,akansha i have seen many reviews regarding it moto edge ultra is actually better but it s not fancy as other phones br br you won t get the premium feel but eil definitely get better user experienc
310,ultra legend edge ultra better than pixel or s plus or vivo x etc under k budget
311,akash hegde it s yr
312,don corleone well said
313,years agohopefully below k
314,don corleone i m using the s fe on hz and the battery barely lasts till evening can t even think of using it on hz
315,pixel a will go on sale too chillax
316,akansha moto s high end phones are never a vfm x is mostly just cameras you can prob get p p for k with some discounts that s the best option in this price range pixel is available for around k on good days go for samsung only if you really like samsung software and it has good cameras and other niche features iphone is just a different category altogether if you wanna go for an iphone then there s no good comparing it with android
317,akansha edge ultra feels like butter and great vfm at k with offers
318,brought pixel at k yes you are right
319,akash hegde year old br launched last year january feb br br btw those who say battery life of the s fe is not good after updates and adaptive battery it has become a lot better as it lasts an entire day despite long calls amp many hours of streaming definitely not a phone for gaming but i d say phone gaming is pointless so anyway its a good phone but for the price and the deal its a great phone
320,aviral srivastava s is overpriced at k it was selling for lesser price in last year s big sale also has heating issues and average battery life
321,jsings battery life ruins experience of s fe my brother had bought it last year and after an year switched to a mid ranger with much better battery life
322,akash hegde it gets years of updates so it will get more major software updates thats same as s flip and fold
323,pravin murthy they launched it recently
324,s fe is the iphone of android unbelievable value for money it s best samsung budget flagship and you can get it for like to k only con battery life is poor
325,akash hegdei dont think any pixel in india has more than gb
326,but s fe is almost year old now
327,what s best smartphones under k k br oneplus br motorola edge ultra br vivo x br iphone br pixel br or anything else
328,w charging and big bezles ruins everything
329,yup and better charging
330,it will go up
331,yeah group but would surely wait for the price drop because the phone is solid
332,a launched for k in july and is now available around k br better to wait months for the same thing to happen with this
333,paresh koli not to mention exchange offers
334,usi mahine me to maja aata hai mobile user karne me phir to purana ho jata hai
335,eva girl pixel
336,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
337,retro tech buy s iphone in bbd
338,what s best smartphone under k k for camera for year stable use
339,parth gandha ok bro thanks alot
340,vivek sharma wait a few months and buy a
341,please suggest me a is worth to buy
342,around october big billion sale we can expect price drop
343,pixel a s price dropped to k within months of launch that would be a killer price for this device
344,same here
345,i really wish that google brings gb variant too i think pixel devices for the price are solid and great devices
346,the fact that a and pixel fold having the same chip tensor g is just insane
347,group but it is kind of priced very nearly to the pixel which is going to make this a pretty tough choice at this price point
348,what s best smartphone under k k for camera for year stable use
349,i have been waiting to get my hands on my st pixel device br pixel a looks dope i will def wait till bbd br price will come down and hover within range gt k lt k
350,i think they should give larger display atleast quot
351,with google a still in the realm of k pricing i dont think a price is going to drop any soon
352,i have been using pixel a for the past years and became a big fan of it so will upgrade to a not now but probably towards year end
353,you will get a better discount at the year s end too
354,same man
355,definitely someone between gr and it s a solid package but would have been better if it was at around k but again that k extra is for google s brand value and product supply i understand
356,dipgh bro really added oneplus phone in top camera picks
357,shivansh arora no everyone has hdfc credit card so that s not universal
358,eva girl if the camera is your first priority you can choose between br oneplus br pixel br vivo x br br but only pixel can give you the best overall android experience and also most reliable image processing and editing tools
359,retro tech k you will get a phone with more than years of good usage br if the camera is your first priority br oneplus br pixel br vivo x br br if best android experience is the first priority br pixel
360,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
361,it is k with bank discount tho
362,what s best smartphone under k k for camera for year stable use
363,i would love to see camera comparison with apple and samsung flagship phone
364,im in group as every necessary feature is provided in a plus with a sweet refresh rate hz
365,how about sound quality and audio codec support on a does it support loseless audio
366,i am in r group br was waiting for pixel a but after watching its launch specifications made my mind to go for r
367,eva girl buy an iphone
368,its not always about the specs i have an r myself and the images are mid software is trash wouldve rather bought the a
369,big mistake bro
370,saiyan plays i am a r user and there has been no problem of lines in screen using since a month
371,eva girls
372,sudarshan so does the camera
373,ui sucks in one plus
374,eva girl get s or s plus i would strongly suggest s if you are ok with the display size
375,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
376,retro tech get an ipad
377,lol i am pretty sure that you bought the r before the launch of a because the r doesn t stand a chance infront of the a unless you are a mobile quot gamer quot
378,years ago i need bi more screen size for office documents for better view during office video meeting br br inch is too small for me br br anything around inches or larger br can i get gb storage as my gb gets filled within year i need to use for years
379,retro tech you can get discounted s iphone under k it ll be great deal br iphone and pixel are also good options if your budget is limited
380,what s best smartphone under k k for camera for year stable use br need inches screen size or larger br need gb storage
381,abhivansh baweja cameras too are better updates too are faster br lastly security too is better due to the titan m chip
382,i reckon the pixel is better just for the software alone
383,saiyan playstrue
384,bro agar bicch se pink line aa jayega tab regret matt karna
385,group already booked thru pre order outside india you get pixel buds a series free with pre order so effectively got it around same price as india with card discount br n group is weird wait for phone tech to become old snap a marginal further discount is it worth for mid rangers
386,i will be in group which means thatits a good phone but generally google phones price drops alot and will wait till sale where it will be around k and then will buy it although its a great package and deal to grab on impressed with a mostly awaiting for you to review the fold too of google
387,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
388,ashish gupta thank you
389,aditya srivastava go for iphone
390,big billions day and independence day sale
391,what s best smartphone under k k for camera for year stable use br nee screen size or larger br need gb storage
392,big billion days
393,when will be the next price drop for this mobile any idea
394,group for sure anyways pixel price drops are fatal itll trickle down to around k by this years bbd sale maybe
395,i ll be in the group where i ll buy this pixel phone months after its launch it has been seen previously also the prices of pixel phones drop drastically within months of period that will be the best balance between overpriced and good package
396,will a price goes down to around k like the pixel a
397,what do you think the price will drop to k soon within a few weeks
398,eva girl pixel or iphone if you get good deal if you can extend a bit then s is also good in camera
399,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
400,what s best smartphone under k k for camera for year stable use
401,siddharth dhulipala i see so i should buy this at k right
402,maybe just k in bbd
403,next big billion day sales definitely months
404,dipgh yea weeks from now
405,weeks
406,around bbd so october november ig
407,a few months but yeah
408,hopefully
409,not this early but probably during bbd sale
410,try few months
411,everything is good except the pricing this one should have been priced at k post discounts not k post discounts they are k ahead of market s preference
412,for k its totally good priced but k is bit closer to pixel at k
413,currently in group but waiting for flipkart s big billion days sale hope it would get huge discount
414,i will wait for to months for this as happend with a this will sure come down to to k range curremtly using a since last years and still happy with it
415,group because it is still a good package in the price of k but as the google pixel a i think its price will also go down so wpi will wait for it
416,i m in group waiting for nothing phone reveal and then making a decision between that or pixel instead
417,hey rupesh br i own a oneplus t and had a very bad experience with both oneplus and oppo devices with their motherboard crash br now i m planning to move to the pixel devices br looking at the current prices i can see that pixel a is a great deal but still pixel a is pulling me because of its hz display and sony imx sensor compared to very old sensor on pixel a br but the only thing i m worried is about prices i m not getting that interest to spend huge amount of money on smartphones do you think the gb ram and hz works for me as i have hz and gb ram on oneplus t br please advise me on this
418,in my humble opinion i believe yes the a will be fine for you for now yet maybe another year or with such little ram you might have problems my advice is to wait for the a to drop a cool bucks in a few months to future proof ur phone
