,Comments
1450,it s overpriced no doubt don t compare it with pixel a it s actually closer to pixel
1451,group certainly
1452,not worth it guys don t forget to consider the after sale service it s pathetic for google
1453,it is still overpriced
1454,i m in big billion day group
1455,th viewer
1456,woahh
1457,not even worth k
1458,group don t care
1459,cons br loads of bug br slow charging compare to it competition br heat issue br poor fingerprint
1460,did you watched the video lol
1461,it is overpriced should ha costed around k
1462,over priced go for pixel at rs k
1463,first
1464,all youtubers gets phone before the launch the reviews must be baised any intellegent person will never buy a phone from youtube suggestion
1465,i am in group
1466,no snapdragon no buy even tho it is a pixel ditch the botched exynos
1467,obviously group
1469,group just viewing
1470,k frking overpriced br why even launch that as a if price is matching with
1471,group
1472,as long as they use tension processors nobody cares about pixel mobiles because they heat up like anything and drain the battery like shit
1473,eh kanya
1474,i am in group bbd
1475,overheating phone guys don t believe these biased so called reviewere you ll regret
1476,overpriced k would have given us a better choice
1477,may as well get a pixel with a deal it s the same phone what a wasted opportunity to make something different what they should have done is make a budget pixel a remake that s what the a series is all about
1478,watt wired and watt wirless charging in and you call it a solid upgrade its a joke
1479,i am in sale group
1480,group
1481,a href http www youtube com results search query group group a
1482,too over priced k and the screen isnt even that good total bs charging for their software plus almost after sales support in most of india would rather wait for nothing phone it will be at this same prcie range same focus of software but with more power and better display and after sales support this should be around k
1483,the bezels are ugly for a k phone br none gives a f about wireless charging in india
1484,group one
1485,group poor guy
1486,costs at least k more than my current almost year old quot chinese quot realme phone price at which i bought and is still a downgrade in terms of most of the specs like battery charging speed performance oh and not to mention it does not even have a charger in the box lmao joke
1487,ugly bezels br fixed focus in front camera br w charging and less than mah battery br let s see what do we get with nothing phone
1488,bezels
1489,minutes ago views
1490,w charger
1491,group overpriced
1492,g
1493,g
1494,group here
1495,elephant in the room shitty tensor exynos chipset with amazing heating issues and very dim and bad quality display
1496,why would i even buy this non sense phone when i can get pixel for k as on posting this comment br br in no manner this is a good package i was waiting for this to decide between it and op r but google just made my choice simpler
1497,w charging in a phone released in is really a crime i hate iphone and pixels for their poor charging speed whatever high end features they have charging speed is a basic requirement
1498,it s overpriced
1499,group bbd
1500,group nothing
1501,i am in group
1503,group a
1504,no use when battery is shit as last
1505,overpriced
1506,group
1507,bhai hindi me video nikal
1508,group still overpriced as fuck you can get a nd hand iphone in superb condition and still beat this phone in every department
1509,still overpriced as shit
1510,st comment
1511,overpriced
1512,overpriced
1513,overpriced
1514,overpriced
1515,overpriced
1516,group
1517,group
1518,group
1519,group
1520,group
1521,group
1522,group
1523,group
1524,group
1525,group
1526,group
1527,group
1528,group
1529,group
1530,group
1531,group
1532,group
1533,group
1534,group
1535,group
1536,it s not worth it
1537,still group
1538,group
1539,over priced
1540,group
1541,group samsung is way better
1542,group
1543,group
1544,group
1545,group
1546,group
1547,group
1548,group
1549,group
1550,group
1551,group
1552,group
1553,group
1554,group
1555,group
1556,group
1557,group
1558,group
1559,group
1560,group
1561,group
1562,group
1563,group
1564,group
1565,selfie cam is still shit with fixed focus
1566,group
1567,group
1570,overpriced
1571,group considering my dad just bought a realme gt pro g gigs for k it has k display and gg vectus protection also a hz display with a charger whatt ikr
1572,ad i m also waiting for nothing phone hope it launch within a month waiting since months to buy smartphones
1573,akansha pixel is mid br oneplus is okay but it doesn t have k display i m not pumping realme btw br vivo is shit and motorola new os updated sucks br and iphone is old and rather br go for which is k today or realme gt pro if you want good display br oneplus for that snapdragon gen br and thats it br and if you ve got time in your hands wait for new phones br because it s may and brands tend to release new phones br waiting for nothing phone
1574,what s best smartphones under k k br oneplus br motorola edge ultra br vivo x br iphone br pixel br or anything else
1575,overpriced
1576,grp mann
1577,in group
1578,over priced af
1579,over priced
1580,overhyped
1581,g
1582,g
1583,group
1584,group
1585,am in the middle group
1586,group br br br br br br br br br br br br br br br br br br br aap
1587,phone looks bad feels like a k phone look at the bezels
1588,it s always gonna be overpriced with that shitty chip
1589,group bbd
1590,because it s not true
1591,overpriced
1592,the bezels sucks
1593,what is this stupid obsession with glass backs plastic backs are anyway more durable than glass backs
1594,group
1595,group
1596,poor performance poor efficiency bad device with good camera and software
1597,group
1598,group
1599,overpriced
1600,still sounds non interesting to me
1601,bhaiya aukaat ke bahar ki cheej mat dikhaya karo faltu mein mobile data use karna padta h
1602,obviously
1603,grp
1604,group
1605,phone not worth more than k
1606,it is priced near to the pixel so who would buy this dumb overpriced device
1607,two doo
1608,bad phone
1609,a href about invalid zcsafez a
1610,kharid kaun raha hai isko jo group devide ho pixel is a complete flop show outside of social media i have barely seen this phone is a handful of hands in its years of existence
