,Comments,Comment ID
186,ansh agarwalyou get the best value for money in bbd,678519_1
187,legends don t wait for sale they just buy it,549296_1
188,amazing video to the point,88740_1
189,great commitment to your subscribers to make this video,744622_1
190,realme gt at k is the best deal in my opinion,849036_1
191,galaxy watch lte is available for k normally it fluctuates in k k range but you will need sbi card and maybe it user specific,216520_1
192,i got the redmi note pro for k by replacing my old redmi note the phone itself was but there an additional discount for exchanging which meant i am getting for a phone that i got for in it s a very good deal,773396_1
193,bro you should have purchased realme gt neo t it s also available for k and way better than redmi note pro,621907_1
194,arjun c scary,711629_1
195,i was purchased redmi note pro on march this year just used days and i m notice some flash autoturn off issue checked with service centre they said it s a motherboard issue my phone is in service centre more than a month now no response from there so i given a complaint on consumer court and it still going on be careful bro,605163_1
196,priyanshu same bro up until redmi note they were the best vfm phones and i have been using note pro for years now and it works good no issues,126824_1
197,s tonic bro sare milke tmko pagal bna rhe br redmi note series are by far the most vfm phones br been using rn pro it s great br miui is stable no ads tons of features like floating windows gallery editor i m just so used to it that i wanna stick to miui forever br cameras hv slow mo micro which are the better than realme amp even oneplus i ve compared them side by side,498394_1
198,had been a proud owner of redmi note pro and it got a mother board issue just after months of the warranty completion good luck bro,265584_1
199,giz tech g just go for s series phones br trust me stick with samsung you will never regret,174810_1
200,retro tech samsung s or vivo x,652074_1
201,what s other best option that has camera better than samsung s fe even by spending k extra br with less heating br any recommendations under k for best possible camera br br or br even under k for best possible camera br br less heat,520308_1
202,s tonic yeaa just don t do updates br i was also using redmi series phone br the note pro max and updations ruined my phone br br currently i moved to samsung br s fe,477150_1
203,papaya noted,574067_1
204,s tonic you won t be able to use that headphone jack and consume your media after redmi gives you a software update to kill your motherboard so better not upgrade your phone in the future,134176_1
205,considering the fact i don t use my camera alot plus i ve been using an old phone since it won t matter to me that much i don t game as well i got it cause of the stereo speaker because i consume alot of multimedia and the fact that it has as a headphone jack is a plus point for me too,308058_1
206,welp redmi is always redmi br rip software,202671_1
207,sanjay k negi it s called the legendary meme ui for a reason,444621_1
208,papayayes buggy software,227472_1
