Author,Comment
Mihir Gupta,I'm in group three who thinks that the price will drop around 30k😅.
Shaheen Namboorimadathil Siddique,7 is available at the same range ??
Harsh kumar Gandharva,Pixel lover ❤
Deepak kumar,I'm in group three who will wait for a couple of weeks for the price to be reduced significantly 😂😂
Ojas Sahasrabudhe,I'm in group 1.5!! I was expecting around 49k as it's 499$ but 44k seems good. I said group 1.5 because I may move to group 1 or 2 depending on it's price during BBD sale. Till then I'm sticking with my 4A!! 😀
NR,Is s21 fe better?
Robin Singh,Me still waiting my pixel 4a to give up so that I can upgrade
Lostboy Gourav Vlogs,Group 2 no doubt
Light Guardian,Pixel 7 better package 📦
PV AMV,Just placed an order 
Vishal Singh,"Currently in group 1, but waiting for Flipkart's Big Billion Days sale. Hope it would get huge discount."
sнιναиαиd βαиαкαя,Still Gorilla glass 3😅😅
Tarun Kumar,I am in the group of people who are going to buy 6a because it's price would definitely drop after the launch of 7a :)
The Third TV,"Just wait for a few months , google is known for marking down its price and sales or wait for a good carrier deal."
Rahul K,Nothing phone 1 feels like a better package when compared to 7a
Johnprakash #,"Specs are very good!✌️ except storage should be 256GB, Fast charging should be 25w or 30w minimum...for a ₹44000 MRP device!🤞😶"
RAHUL RAWAT,Buying Pixel 7A would better than buying Pixel 7. Suggestion!!
AppleAndPhysics🇮🇳,I think it’s value for money but most of us will be confused for sure between the 7 & the 7A!
Aojesh Shrivastava,2
SD,Wish it had a bigger display not much like around 6.4 inches
samshi vp,Guys let's wait for offer time  it's Group 3 😂 look 6a getting under 30k  hopefully we will get 7a on that price bracket
VampyToast,Its perfect
Vansh Sharma,"The price is gonna drop, soon. Like for 6a, from Rs 43,999 to Rs 28,999."
Jhankar Modak,128Gb storage and slow charging are a deal breaker for me
Mr. Meticulous,Everything is good except the pricing. This one should have been priced at 33K (post discounts) not 40K (post discounts). They are 7K ahead of market's preference.
Bhavesh Pratap Mall,Group 3 wait for the price drop.
Mohit,Ugly bezzels
Shahzad Ahmad,Bezels : I work for TVs but anyway.
mitratanu sarkar,after 4 months this will go down under 30k .. u cant beat that
deslime,"May as well get a pixel 7 with a deal, it's the same phone, what a wasted opportunity to make something different. What they should have done is make a budget $300-$350 pixel 4a remake. That's what the A series is all about."
Aquib Izhar,I am in group big billion days 😅
Abhineet Gupta,I would love to see camera comparison with Apple and samsung flagship phone
Chanakya,I know the price will be reduced to 35k after 3 months so I am in group B
Tushar B,In group 2
MaKsiG_007,"hi Boys, like your video reviews, always positive and informative. 
THUMB UP. 
By the way Im in group 2 however slovly but surely migrating to first one."
professor X,Group 1
Hector papi,Google releasing mid range phones with 90hz while Apple iPhone SE series& regular 13 or 14 non pro editions still capped at 60hz lmao
Arshit Vaghasiya,Group Pixel 7. It's still a good deal overall. I've been using it for 6 months.
D,It will eventually have a price drop (just like the 6a) and I expect it to fall around 33-35k. This would be a good price for the phone
Aayush P.,I bought the 6a last month. What should I do?
Abdullah S,"Is it worth buying a Pixel 6a now for 28000 rupees, given that I need a phone urgently but I will be changing my phone and giving it to my mom after 8 months?"
Abhishek Yadav,"Mark my words this will come down under ₹30k in Big Billion Day Sale.
Not a right time to buy currently."
Lokesh Punia,"For 40k it’s totally good priced, but 44k is bit closer to pixel 7 at 50k 😬"
Yash Jaiswal,it's not worth it.
DipGh,"Definitely someone between Gr 1 and 2. It's a solid package, but would have been better if it was at around 40k. But again, that 4k extra is for Google's brand value and product supply, i understand."
Blink!,better to buy oneplus 11
Sanyam Malhan,No charger in the box so I'm definitely in group 2.
The shorts shot,Group : Being Indian we'll wait till it goes arround 35k
shivraj roy,"Group 3
Already have a good enough phone"
Purvam Joshi,"7a se achha 6 month purana 7 le lunga,,, mkbhd bhi wahi bol raha hai"
Sadhak Phanse,Wouldn't it just be better to wait for sales so we can get 7A for 30 k ?
Sanyam Malhan,"A correction to note in Genshin Impact G is pronounced like you would pronounce it in a word like ""graphics""."
Akash Chatterjee,Group 1
Yugank Kulshrestha,I’m in the group 3 waiting for a price drop during bbd or amazon great indian festival sales. 😂
Roronoa Zoro,Group 1
Ankur Aryan,Utne me to pixel 7 aa jayegi
Sandeep Srinivas,Wasn't the Pixel 7 in sale for 50k? why would anyone buy 7a for 44k?
Abhibhav Sahu,Better Charging in both wired and wireless. Smaller bezzles. Better viewing angles. Glass back. Reverse wireless charging.I'd rather choose the normal Pixel 7 for 5-6k more.
Pad-dy drummer 🇮🇳🥁🏵️,Still no Dolby Atmos! Wow Google :(
S C,18w charging 😂 Google just can't make a perfect budget phone can they?
tony lansky,Hate the charging time compared to the one plus nord 3 or poco f5 but the pixel are just so damn smarter then the competition.😢
abhishekt800,Selfie cam is still shit with fixed focus
Abhinav Singh,The S21Fe is still a better option than this... Samsung owns the game man....
Jayant Yadav,"It is 7.5W Wireless Charging at 5:25 👀 A 120 Hz Display, Fast Charging, 256 GB are much needed though..."
ARC NEMISIS,those bezzels are very noticable
Swapnil L,"It's all lovey dovey till you have to claim warranty in India.. trust me, it's not worth the hassle"
Wan Play,Can’t wait this phone to beat all the flagships out there in blind test camera from MKBHD😂😂
Yash Mehta,We want a comparison video between Samsung s21fe vs one plus 11r vs pixel 7a
Sovan 🚩,I will say a it's a very good overpriced package
Anuj Kumar,The Big Billion Day group!!!
Mayank Kamal,its certainly overpriced ..just look at pixel 7 prices which is still a decent phone
Kratzz,Group D waiting for Diwali sale and bonus 🥲
manoj reddy,Still with Group 1 ...   Could easily go with ONEPLUS ❤
unko terebi,"Group 1.5
Wait till it comes under ₹35000😂😊"
SOUVIK CHAKRABORTY,Group 1.5 cause the price will drop big time during BBD sale 😅😅
COD warrior BD,Definitely i am in group two now. Was in group one last year because of the 60 hz display...
Vamshi,Well im gonna see this video again during BBD
Hardik som,Group 1; only because of gorilla glass 3!!. At least they need to give glass 5 if victus series is costly.
Hardy Electrify,18W charging in 2023 😂 ....u gotta be kidding me.
Sayan Sadhukhan,Group 2
Saswata Chakraborty,I just placed an order for 31867 (exchanging my Galaxy A52s) with 12 months no cost EMI. I think it's the best overall package at 31k.
Chloe Caulfield,"Mkbhd and Arun got the foldables
And I thought you got too"
Rafi,18w charger 👎
Ghosh Group,Group 1
Steve Wonder,Good luck charging your phone for 1.3-5 hrs😂😂😂😂
Areeba Ali,Overpriced!
Hector papi,we need 256gb variants of pixel in India 128gb is now classic & useless
Asura Kengan,"Group 1. Still overpriced as fuck, you can get a 2nd hand iPhone in superb condition and still beat this phone in every department"
Manan Agarwal,I’m in that group who waits for big billion days
Rohit Sarna,i will be in group 1 during bbd sale when it sells for 30k 😂😂😂😂
Saurabh Poojary,"You can get a Pixel 7 around 50K, the pricing of this phone is very wierd. Had it been between 30-35k would have been a very good competition
@beebom"
Akshay G,"Group 3
Waiting the price to get under 30000"
Vikram Chauhan,"I will wait for the price to drop to 25k and then consider buying it. So I'm in neither of the groups. When the 6a came, I was in group 2 and so I love Google phones but they just can't hold the price of the phone. What's the point buying it at the starting price when after 4 months the price will drop by 15k."
Joe C,"plastic back and wireless charging?. If thats possible, why did they bring glass back earlier?"
JaaniRox,Group 1
Aftab Mohamed K,google should stop selling these phones in india!! they are just buting their cash!! .
zameer,Exynose destroying Samsung and tensor will destroy pixel 😉same like color os killing oxygen in OnePlus 🥱🥱
Amol Sharma,Group 3: Buy it in Diwali sale for 30k
Subhajit Panigrahi,Only one downside or rather say cons is their storage options... why font google gives us 256GB option?? Why?? @Beebom
Salman Khan,You can get the pixel 7 for 45k. Why should one save 3k and get downgraded specs?
Thomas Singh,"I just think that people don't look for the overall experience. People look for the high end specs and honestly speaking, it's right but the high end specs will be forgotten by everyone after some months of usage. What pixel is providing is experience, the very clean, best experience, the older pixel phones still run smoothly despite having mediocre chips. You are getting the best camera, best software, best experience which will not degrade. I mean, I know I was also a nerd back then, looking for cores, Ghz and all but now all I want is a reliable phone who will give me more than enough performance when needed and very clean experience."
Shubham rock,"30k for specs + 3k for Google



This much will be enough"
Aditya Shyam Sharma,"I'm definitely in the group to because of the features I was waiting for be in Google 6 was not having such like fast refresh rate and the better cameras and the tensor G2 I think it's a great deal 🤝
And I also attended Google io it's making me excited for the Google pad too"
AV,I am using one plus 11r and it's a Killer at 40k No Compromise as such and OP UI Is also Good . If 7a was launched at 32-33k then it would have been a Killer deal
𝐒𝐇𝐀𝐑𝐊À𝐍𝐆𝐋𝐎,Group 2
vikas Ghindwani,"im ofc in grp 2
But pixel 7 sells for like 50k which is 6000 Rs higher than 7a and it offers better ip rating, better cameras, better speakers, less bezels, gorilla glass victus, faster wireless charging, faster wired charging, glass back.
so... pixel 7 is a better deal for now. 
if pixel 7a could come down under 40k it would be awesome."
The Late Bloomer,I think if someone has to buy a new phone right now they should definitely consider the 7a. But if you can use your current phone till October then this would be a real value for money device around 30-35k during the diwali sale. In either case its a good buy. Kudos to Google.
Jsings,Let the price change happen. Sales. When you get it for 35k to 30k it's a bomb. But that will be 6 months away. I'd stay great phone. Let's wait for the price drop
Archit,"Group 2, and in BBD, there will be Group 3, mad deal."
Techy Ady,Just watched Marces's video but still here 😁
PUNITH SAI,Good package
The SIGMA,it's always gonna be overpriced with that shitty chip.
Sudip Mazumder,Pixel 4a is still my best choice
Rajdeep Paul,Its fair price should be 35000 i still believe 11r and v 27 pro overall better value phones at their price lets wait for phone 2
Kishan Raj,I m in group 3 : the ones who will wait for few months when say it a best deal at 30k after it's price drop
aarambh sharma,"What are they smoking while pricing the phone. 😪
It would sell like hot cakes if they priced it 30k - 32k. And I guess people would understand 35k as well. But 44k. seriously. Why? Why would someone spending 44k not simply buy pixel 7."
CRISIS CR3ATOR,Pixel 6a at 27k >> 7a at 39k until bbd sales
Abhilash Ravichandran,pixel 7 at 43999 now
Sean,Group 3 - who gives a fcuk 🥱
Abhijith B.Lal,Wgy would anyone buy the pixel 7a for 44k when you can buy the pixel 7 for around the same price during a sale
bubblegum,Might as well get the pixel 7.
Dharmveer Sharma,I'm in my own Group: See you in BBD 🤣
Rajin K P,Any Network issues?
ARPAN KOLEY,"If they gave 256 gb storage instead of 128 gb, I would definitely go with category 2."
Santosh Dukhande,Group 3: those who will wait for price cut 😂
Akshay Kumar,"Well, Group 3 is - People who wait a few months after the launch and get a great deal in terms of pricing! 😅"
Soumyadeep Patra,Now I'm in group 1 . But I will switch in group 2 during the big billion day / Diwali sale
Durgadas,Group 3 - I will buy this in BBD sale at lesser price 😊
Unnat Sadh,But wouldn't people turn towards pixel 7 since there isn't much price difference between 7 and 7a
MAAZ ZAMA,"There is also a Group 3, it includes people who are waiting for price drop in Sales then buy it 🫡🫡"
Owaish Luqman,"Group 3 , will wait for the price drop 😅"
Sanjay Raju,Is the Image sensor same as that in p7 ?
Prithvi !,"Measure the Width to showcase the compactness, you idiot .. not the thickness!"
Gokul,"Can I pay 10 k extra for those cameras,campared to s21 fe?"
akshay de,So now its between the 7a and the 11R I guess. Whats better here? I am definitely leaning towards the 7a for the camera but the higher performance score on the 11r are tempting
Kovid Gupta,Just wait for the big billion days 😂😂
Wasim,Google will eventually bring it under 35k so I am in Group 2😂
96mb,Over priced AF
Kishore Babu k,"I am in 3rd group, "" better but pixel 7 "" . This is my group😂"
Rahul Prabakar,"Easily Group 2, it's a well rounded phone especially in India."
pravin murthy,Ohh Pixel 7A is better than 6A 😲.. What an achievement! 😛
This is M,Full comparison between pixel 7 and 7a please!
tech saswat,better than samsung A54
Dev Kumar,Group 3 - waiting for the price to drop down 😁
Prabhat Attreya,"I am in ""Let's wait for some time to price get reduced"" group"
Phoenix,"The market has changed, the Poco F5 is a better phone"
Goutam Bhadra,"Group 1 , will buy it during BBD sale."
Sunil Sharma,#group2
Naveen Singh,Charging is an absolute deal breaker...I know 10 people who would want to buy this..but won't just because of it's charging speed.
Blessin Varghese,Group 2
nilabh ghritlahre,Gorilla glass 3
Abroto Dutta,If it's my money i will pay little extra and grab pixel 7
neelansh sehgal,Group 3: october sale for 32k.
Abhishek Sharma,"I’m currently using iPhone 12 mini, would it be wise to switch to 7a?"
IBRAHIM BADUSHA,Is there any network issue like pixel 7
Ankan Sharma,"pricing is the issue I would give 32k max for this, keeping in mind 6a price"
Crusader,"I'm in Group 4, Waiting for Nothing Phone 2 reveal and then making a decision between that or Pixel 7 instead"
Satyajeet Roy,Group 1. Was expecting around 35k
ARITRA BANERJEE,Just wait for a year tbh and the pricing will come down when sales will be low as we witnessed same for Google Pixel 6a 😅
Saswata Basu,How about sound quality and audio codec support on 7A. Does it support loseless audio?
Anuj Suroshe,"Obviously Group 2, as we all know that smartphones launching this year will be expensive and also 6A watch launched at the same price with lot of missing features. Although i am an Iphone user still if i get a chance to choose I will go for pixel phones rather than A samsung phone or a BBK Product"
Lucky Saadaan,"Group 3
Wait and buy when the price drops 😊"
Ankush Saha,Solidly in group 2...would rather go for the oneplus 11r which costs 4k less
Dragon CLAW,I'm in 'after heavy discount I will see if I can afford' group.
Parass,Will society accept me If I say I like those thicc bezels 😢
SHAILENDRA GOME,Pixel 6a Was Bought Around 28k After Some Days of Its Launch... 😂😂😂😂😂
Shaon Adhikary,I will wait for big billion days then decide 😅
Anshuman Tripathy,"after a price cut I'll be with the group ""OMFG it's the absolute best"""
nitin kumar,all youtubers gets phone before the launch.....the reviews must be baised.....any intellegent person will never buy a phone from youtube suggestion.
Shubham JAUHRI,Overpriced 😢😢😢😢
MEHUL,Grupe 1😂
Ashish Patel,"Group 2 
I love pixel phones"
Arpan,Group 2 but if comes down to 40k after discounts than it will be more better
ujjawal jain,"these bezels are deal breaker in this year,  what 40k phone has those huge things..id pass it even for 30k"
GoVi,Group 1
Lethal Gamer,is it just me or the back of the device does not look the the device launched in IO today
Autobot_zz9,"Gorilla glass 3 and reverse wireless charging of 7.5 watts i mean at this price point??  Reverse wireless charging that slow can only level battery percentage if you doing certain activity you'll be stuck at certain percentage not go up nor down..
S22 @45~47k wold be wise choice than 7a"
Akshat Vatsya,Would be waiting for Nothing Phone 2 to se how it compares to Pixel 7A
Shovon Tarafder,Hail group 2. Not everyone wants a gaming phone. Going for 7A definitely.
Mishal C,I'm in the group where we wait for the price to drop😅😅
hm,"does this take better photos than oneplus 11 r and vivo v27 pro ? if yes , i will be in group 2."
Subhra Debnath,Group 3- Poor guy
A N,"Remember guys, nobody will talk about front cam. Coz it is straight out trash and potrait mode...😂😂"
Sayan,I am in group 3 who believes after some months the price will drop... 😅
Sree Krishnanandh,Ordered pixel 7a the moment it launched
Writwik Ghosh Dostidar,Group 2
MaverickVirat,May be Group-3 : waiting for bbd sale to get this at 32k😅😅
Md. Shamiul Haqe,🔥
Aditya Saluja,"Using pixel is another level experience
Try before thinking it's overpriced
Smoothness is almost same as Iphones"
Hardik Prajapati,Group 2 but it is kind of priced very nearly to the Pixel 7 which is going to make this a pretty tough choice at this price point.
Ryan Izanami,I'm in the GROUP which doesn't want to regret impulsive purchase at that price while that may go down reasonably a lot soon after.
Viraj Gupta,group 2
abhay chandra,Group 2 for sure
Nikhil Vadgama,Group 2 definitely
Suresh Shiva,Group 3: wait until Price reduce 😅😅
Mohd Ismail,"I am in group 3
Buy pixel 7 at 45k after bank discount"
Kashu Ansari,Go with Pixel 7
sarvesh prabhu,https://www.youtube.com/@sarveshprabhu1071
User 020X,Do not buy pixel 7a on launch. You can spent 4-5k more and can get pixel 7 . After 4-5 months price will definitely go down.
Nick Usalis Knight,I am so torn between the 7A and the Poco F5 Pro
Himanshu Sankhala,Then why to buy pixel 7
Vaddadi Praween,waiting for Diwali sale.
Kunal Soni,128 gb is yahhhh
Komal Patil,"In group 3 of ""Non buyers"""
Akansha,"What's best smartphones under 55k-60k?
OnePlus 11
Motorola edge 30 ultra
Vivo X90
iPhone 13
Pixel 7
Or anything else?"
S S Ramadas Gollapudi,Group 😉2
Gokul,How are the cameras compared to s21 fe?
Shriram Hansdah,18 watt charging and thick bezels are deal breaker for me 😢
surya harshith,"Group 3 
Waiting for price drop on sales 😂❤..Anyone ?here"
Prajjwal Tiwari,"As Marques said, its better to go for the 7 instead of this.
Pixel 7 was going for the exact same price.😂"
Sarcasm King Games,Google 7 is a better deal than this. 7a is a good update over 6a and that's about it
Random anime character,"Group A Overpriced, pricing should be around 35k"
AD,"Group 1,  Considering my dad just bought a Realme GT 2 Pro 5G, 256 gigs for 43K. It has 2K display and GG-Vectus protection. also a 120hz display with a CHARGER!! WHATT! IKR!!"
Swatantra Rout,The nothing phone 1 is a better deal for daily usage. It even provides better service support
Random,Every product is good at beginning so its not shoking google is smooth and light 😂
Harish Kannan,Wireless charging speed is 7.5w - mentioned by MKBHD
Abhinav Kumar,"I want to join group 2 but it's bezels hurts a little bit , so I'm confused now 😕"
Abdul Khan,Group 3 : buy at 29-30 k during bbd sale..
Manan Warge,Group 3: Pixel 7 @45k is better choice that this😂
shushovan dey,"This should be priced at 35k maximum. If you can afford 44k for this, go for pixel 7 instead."
Suria G,"one eye on the streets, one eye on the tech game. Lord Beebom"
Ryan Izanami,What do you think...the price will drop to 35-37K soon within a few weeks?!
ⱮƖƬӇƲƝ,Group 1
Gokul Balu,128 GB for 45 k? Oneplus offers better
Vishwajeet Tiwari,"I'm in grp 3
Waiting for the big billion days sale  😅"
Atanu Bose,Legends are waiting for Diwali sale.
Shaurya Priyadarshi,Group 2
Sandip,"Which one will best option Samsung s23 or Google pixel 7a 
For camera ui performance"
Raktim Saikia,Group 2
Millhouse Speaks,Looks dope
Apon Techy,Overpriced 😊
Sumanth 880,I Will Either buy Pixel 7A or Oneplus 11R in BBD Sales😅😂
Raghav Khurana,"How are you in group 2 
Pixel 6a 28000
Pixel 7a 44000
Pixel 7 50000
 ? Like i will not spend 6000 rs less on a tonned down smartphone with those ugly ass bezels 🤯mindfuck sponsered lines in the end 
A series should have a cap of 38 to 40 k"
Dannnnnn,"6.1"" FHD+ AMOLED 90Hz
Gorila Glass, 418PPI.

Tensor G2 (5nm Samsung) 2.85Ghz
GPU Mali-G710

LPDDR5 dari Samsung 🇰🇷
UFS 3.1 dari Micron Technologi 🇺🇲 & SK Hynix 🇰🇷 (2 Varian Vendor)
8GB RAM + 128GB ROM

64MP Sony IMX787 + 12MP Sony IMX712 Ultra Wide, 10.8MP Front
OIS, Gyros EIS, 4K60FPS.

4,500mAh + 18W + 18W Wireless + USB C 3.1
Android 13 + 3 Years Update OS + 5 Years Security Patch 

WiFi 6E (Qualcomm WCN6740), NFC, Bluetooth 5.2, 5G, IP67 dust/water resistant (up to 1m for 30 min)

Stereo Speaker, Dua Microphone.
Fingerprint Under Display 

Glass front (Gorilla Glass), aluminum frame, plastic back. Arctic Blue, White & Black

8GB/128GB $499"
రమేష్ గోకమళ్ళ,"I'm in Group 1 when it is compared to other Smart phone brands like OnePlus and it's 11R device. I got 16GB variant at ₹43000 with exchange.
I'm In Group 2: Because, Its Google. Neat and Clean OS and Timely OS updates. I 💕 Pixel OS. Everything from Google but, These Pixel phones get heat even when you watch YouTube videos for 5-10 minutes. Such a worst feature of Google Phones anyway. Google should fix it with a Snapdragon chipset device. In winter these Pixel devices help you keep you warm all the time. And🔋 life is not that good at any pixel device don't worry about that anyway."
N B,"what's the ""catch""?"
Prakash Kumar Gupta,"It's overpriced no doubt. Don't compare it with pixel 6a, it's actually closer to Pixel 7."
Sahil Saifi,I am just concerned for nothing phone 2🙃😂
aviral srivastava,"The 128 gb Pixel 7 is available under 45k. Isn't that a better value?
 Personally I think 7a with this storage option is overpriced, it would have been a lot better if offered with 256 gb. Since Pixel 7 256gb is almost 55k, many buyers would have considered 7a with 256gb at 40k Also there are options like S21fe with 256gb at almost 35k."
kaushik krishna,Why would anyone buy this at 43k when one can be buy pixel 7 at 45k
Tech Games Movies,Group 2
Ayush Shishodia,group 3 buy pixel 7 for 50k
Lakshay Siwach,overprice will wait for it to get down to 35k
Rahul kumar,Internet will not divide...5:53...Legends will wait and get this at 29k during Flipkart's Big Billion Days sale.😂😂😂 Currently its 39000 just wait for 2 months it will be at 34999 and when BBD arrives it will get a card discount for 5000...Easily available for 29-30K.
Rakesh G,"Group 2 , but for me it is costly 😅"
GBox180,After Pixel 2 2XL ....Pixel Dead....If they l re launch Pixel 2xl with SD778g or 7 gen 2 + 30 w min charging speed .same design but 6.5+ inch screen & 5000mah battery  ... i will pay 50k
AnkuR SahA,"Now : Group 1
After 6m when It goes for 30k : Group  2 😂"
Valac,"Pixel 7 is available for like 1k more lol, makes no freaking sense to purchase this, atleast right now"
Mukesh Kanojiya,❤❤❤
John Kota,Group 3 wait for sale and price drop 😅😅
Sharan S,Group 1 but over too my budget soo Group 2😂
Aniruddha Basak,"Ugly bezels
Fixed focus in front camera,
18W charging, and less than 4500 mah Battery.
Let's see what do we get with Nothing Phone 2"
Devesh Katakwar,"Group1 
Abt top notch specs s21 fe already has under 30k
Wireless c.
Nfc
Ip68
Camera
Software
Performance 
Battery for day...😅"
Arijit Roy,"Group 1 for now, headphone jack, 5000mah could have made it to group 2
Under 35k its a decent deal"
Hussain parekh,what about the group 3 who's gonna wait for sale and grab it under 35k 😂
Suraj Nigam,group 3  BBD
nagarjun n,"18W is not a fast charging in 2023. Come on Google for 44k you should provide 30W atleast. Worst pricing, worth only for 30-32k"
Siddharth Singh,Group 1 who will shift to 2 during BBD sale 😂
Goallapavan Kumar,what about the service centres
Souvik Halder,Group 2
Sanjeev,Can i exchange it with pixel 6a
Vikram,"I'd rather get the Edge 30 Ultra, 256gb at 45k then this, even though it doesn't have the updates"
SHIVAKUMAR TURAMARIMATH,Group 3 - wait for 8-9 months price will drop then buy it in sale 😂🤣
In memory of COCO -SJ,"Battery 🪫 😢😢😢
Google Aunty - your call is now recording 😅😅"
Pawan Panthi,I work in a retail store and attend almost 250+ calls per day. Please suggest a good phone for calls and whatsapp . Currently using Redmi Note 10 pro and I-phone 12 .
Christy Daniel,"For me, charging speed is a deal breaker"
Tushar Agrawal,"Group 1 obviously, Pixel 7 costs 45k 😂😂"
Himanshu Verma,"Iam in group 3
Kharidna hai par paise nhi hai"
Soumyajit Sengupta,I am in 3rd group which waits for price drop
vaibhav Tandekar,OnePlus 11r will win
Deepak Suneja,"Commenting from pixel 6a
And now i am in group 1
Because i bought it in 29k and 44k is really overpriced"
Manish Nandi,"Now telling mistake and flaws about pixal 6a. But around 1 months ago, everyone recommending that phone...."
Vikram,"7A: 73mm wide with 6.1 inch screen

Edge 30 fusion: 72mm wide with a 6.55 inch screen and no software updates! -_-"
jayanthvarma chennu,G2
Sumit Pathak,"The only downside is limited storage. 256 GB version must be an option.
Edit: People crying and telling me that it has unlimited cloud storage then please go ahead and buy it because Google discontinued unlimited free cloud storage in new devices from 2021.
Edit 2: Nothing phone 2 might be a better option. Let's see"
Agravat Gaurav,Group A
siva vetrivel,I am in good package with card offers we can get it for 40k that's a good deal !!
Shoaib Ahmad,And then comes the group 3 which will wait for the prices to drop😂
Abhishek Alex,Group 1 ❤
hardik kondar,"Bhai Google io khatam toh hone detta, 😅"
Amit 7,Group 2 🔥 after having 6a
Akshay Darji,Group 1
Rahul Ganguly,Also would like to know a detailed comparison between the pixel 7 and the 7a
HARSH MAKADIA,Really Good To See Videos Comes In Just 5 Mins 🥰 After Office Lunching
vaibhav Tandekar,Giant bezels and no dual apps
SHARUKH,Group 1
Mukesh Pandey,Group 1 .. May i will buy this in bbd sale.
Tafiquar Rahman,"Group A 
Group B 
Then Comes Group C who will wait for price drop and again A series will be hit"
Gajanan,Those thicker bezels realy look dirty!! It ruined the look of the display!! 😌
Eren,43000 for exynos shit😢
Akash Hegde,Pixel 7 is available in Amazon around 45k. So maybe that's better deal
Rahul Ganguly,I would just wait for the prices to go down a bit of the pixel 7a and if that really happens that would be the ideal scenario to buy it.
Yan Chu,Miss the old intro music of Beebom
Dharmendra Dubey,"Pixel 7 is already at 44k on Amazon 🤣
What is this nonsense pricing...."
dev tripathi,Group 1
The Backbencher !!,I would be stupid big time to buy this at 45k when pixel 7 is available at exact same price on amazon
Ankur Mahajan,Why to buy 7a when 7 is available at 45K.
Parag Chakraborty,Smoooothhhh machaaa! 👏🏼😂
Rakesh Singh,i am neutral bcoz I'll wait for big billion sales
ramji,Group 1
19 CSE 1111 Mustafa Mudassir,Group 3 waiting for bbd
Akash Singh,"will buy in BBD,abhi nahi"
Abhishek Dhawan,Pixel 7 is at 50k in sale without bank discounts. 7A at 44k does not make sense 🥲
Puneet Dubey,"Group 3, wait for pixel 8 😅"
Govind,Group 2 but if I only have money 🤑
jiju jaison,Thick Bezel in 2023.. could have make it curved
jaga dish,Only let down is charging speed
jaga dish,Request google to increase charging speed standards.
no name,Chalo jaldi pixel 7a 30000 ka kardo taki sale mei lelu🤣🤣
amit s,Will wait till big billion day. And will catch this for sure
Divyanshu Elawadi,"I'm in group 1 until BBD, then I'll be in group 2"
Veda Vyas,1 obviously
Soumitra Das,"""Google is the worst company on Earth at keeping things a secret"" is one of the most accurate sentences said in history. 
- (MKBHD)"
Vikram,"No snapdragon, no buy, even tho it is a Pixel -_- ditch the botched Exynos"
Subhajit Paul,What do you think about the pricing?
Rooster,What is this stupid obsession with glass backs??? Plastic backs are anyway more durable than glass backs.
Rayan Moideenkutty,2 minutes ago 1100 views
Vivek Jangra,You guys are superfast 😂😂
Nearlight gaming,What is the Best mobile for performance+ camera under 35 k? Or any other upcoming mobiles?
Prash,18w charging and big bezels ruins everything 😢
Abhay Sharma,Woahh
Randeep Baruah,Going to sell like hot cakes 🎂🎂🎂🎂
puneet nahar,"First video out after Google IO
As expected from Beebom"
Aditya Bhardwaj,Am I the only one who knows it's re-uploaded.
Himanshu,❤
Pain_of_Doubt,Bhaiya aukaat ke bahar ki cheej mat dikhaya karo faltu mein mobile data use karna padta h
Ritik Chauhan,7th viewer 😂
Anurag Kumar,Wow watching this video in the first minute of it release 😂
Arhab Hasan Khan,"First video for Pixel 7A
And mine first comment.. 
good work for both of us 😂"
Souvik Ghosh,First🥇
Sandeep Khugshal,Sabse pehle Maine dekha... There should be gift for me😅😅😅
Tafiquar Rahman,Left Technical Guruji’s video to watch yours cause the quality ❤
The cine Sky,1st comment
Raghav Dholu,Wohhh video nai dekh ke bol sakta hu iPhone ka market Gaya
Pharma Grapher,1st
Ankit Singhai,Can you give these phone these is my dream phone❤
THE 4NC,First comment
Pharma Grapher,1st
Tanveer Singh Thind,Nice video sir
suresh Krishna,I'm still in group 1 because at same price you have other options too with 8+ gen 1
R7anubis,Beebom also fixed their videos and are finally making better content 🔥
Soumitra Das,Nice improvement 😸..but little expensive
Chaudhary vlogs,First viewer 😀
AMEY KASKAR,#pixel7overpixel7a
ADITYA CHENDE,So you upload videos late night
Azib Khan,Pixel is perfect ❤
Durga Rao,First to comment
kaanglei Ema na yaifare,First comment Pin my comment please 🥺
Idrees Lonne,Got my hands on it last sunday😊
ADITYA CHENDE,So you upload videos late night
Pritam Swarupa Jena,Yo 1
Rahul Mishra,First
Shadab Ahmed,First
The Lush Fire,"First view
Pin me"
