Author,Comment
Ahmed Shahriar,"this is probobly the best channel in india and bangladesh combined, only if it didnt have music on talking, it could be better"
The Ray,I will buy it for sure around 35-37k
Harsh,🛑VoNR enabled or not?
SoLTY,Group 3 : Just get the better pixel 7
Aarif Hannan,"Group 3 ,will be waiting for diwali sale.."
Somu Meher,I will wait for flipkart’s bbd sale😊
Deepak Tanpure,"Hey 7A Bro, be ready for many OS and App bugs

Your friendly neighbour Pixel 7 😂"
Mitesh Thacker,Kharid kaun raha hai isko jo group devide ho.?? Pixel is a complete flop show outside of social media. I have barely seen this phone is a handful of hands in its years of existence.
Vineeth-V,G3 people : only watching all launches but strictly not to buy😆
Suhas Chowdary,As long as they use TENSION processors nobody cares about PIXEL mobiles.  Because they heat up like anything and drain the battery like shit.
Andhavarpu Harish,But how to buy charger
Tom Degreorio,I'm thinking the Samsung A54 is the way to go
wide walk,We're really missing the dope intros
Garv,I am in group 3 aka the ones who are praying for a price drop in the future like the 6a
abhilash Mahamuni,Group 1 till big billion sale. Group 2 in big billion sale.  Group 1 again after big billion sale.
Zain,Reminds of a certain very underrated Samsung phone 😅
Sreekar kvb,Group 3: Wait for the Big Billion Days Sale to get the Pixel 7a under 30k!💥🙇
I5EEYOU,Overpriced. 30k-35k should have been the price.
Rajesh K,The main problem with google is no fast charging. Especially OnePlus users cannot switch to pixel as it is having only 18w.
Ashutosh Choudhary,group 3 : buy pixel 7 fro amazon for around the same price
Jay Shah,How is battery performance i am buying for first time and I have booked IT
Rushi Bishy,Eagerly waiting for the big billion day sale now where I'll get this for under 30k just like last year with pixel 6a
Lalit Patil,6A still better at 28999
Devarshi Shah,How about pixel 6a in 2023 at ~25-29K Price?
sandeep manimala,Group 3 :- waiting for BB price cut
The Status World,Is it better than nothing phone?
Divyam,It's a good package. I'm in  group 2
itzursan,Really Awesome upgrade from Google... Because I'm 6a user ... Im supported Group 2
Majd | مجد 📸,Those bezels man 😅....
Donal Sam,Love the phone. Will wait for the price to come down a bit.
Protonu,"But now we can get pixel 7 for 50k, just 6k more than 7a. So shouldn't you go for 7."
YASH K,"We are pixel enthusiast who want best camera,user experience and decent performance
Ps- would wait for BBD sale and would grab it at 35k"
praveen kumar,im in the group thats going to get it for 30k in a couple of months
Jatin Jangra,Wait for big billion days lol
Sathyaki,Group 2 are the idíots who will buy at 40k and Group 1 will wait for Big Billion day sales and buy the phone at 26k. Lol!
Ankit Jain,Is their any room for another group? 😁😁Group 3: any word on Xiaomi 13 will launch in India?
Basharat P,i will buy this phone in 2025.
Birru Akhil,If i could differentiate i'd be highlighted (not me you know who)
Prajesh,3:19
Mayank Kumar,What about service center availability? Is it same as past or changed now?
Bekhof Gamer,"over price h
34,999 best price"
Ankush Kamboj,"Group 3 : would rather buy pixel 7, which is better and costs 45k. Pixel 7a is weirdly priced, rather overpriced imo."
superheroverse,is it better than samsung s21 fe 5g please reply i'm going to buy.
Sidharth R S,Food for thought: Isnt it better to get a Pixel 7?
Simply Shorts,I'm not in group 1 but I still believes this phone are comes 29999 rs on big billian s time 😅😅😅
Nagarjuna Mandalapalli,What was that third game he was playing??
Munch,Group 3 : waiting For BBD sales
sai krishna,Group 1......
randomish,i miss that cool intro.. rupesh pls start using it again
Vish Vesh,"for this pricing if anyone wants to buy it now or soon, its way better to spend more 6000 to get the pixel 7 itself."
Maverick2789,"guys planning to buy this for someone so in this range for the average person who would want a decent battery good cameras are there better options??
pls help"
Gaming with MEDICO,Group 1
Naveen Kumar,How come bezels are symmetrical? looks like a biased review. I didn't expect this from beebom.
Akshith Reddy Thokala,The fact that 499$ 7a  and 1799$ pixel fold having the same chip [tensor g2] is just insane.
Rohit Kumar,"I will g4😂😂
Still waiting for price cut....30 k"
Ripan'S,Grp1....it should be 30k-35k
Ved Singh,Two 2 doo
Mohammed Shoaib,Ofcourse overpiriced as 6a's real price has been 32000 for almost a tear now...its just the novelty price..and will be reduced in few months
Abhinav uday,"They are already loosing in for chat gpt and still they think best brand and play like apple being stubborn on giving features they will even loose in smartphone market its time for them to get more sales, Obviously they should give these features 😂"
Gavin janavar deric,"This phone has one nano SIM port and one esim port
Does India supports esim?"
ᴄʏʀᴜᴤツx,"Bro why people are so obsessed with power ,  software is everything, experience a pixel or iphone (tho i hate ios ) then you'll know"
Aman thakur,Group 3 watch video only for fun 😊
amol deshmukh,group 2.. because getting 4k of on HDFC credit card. so getting it in 40k
Ashish Sharma,"I am from group 3, who are waiting for BIG BILLION SALE"
TONY CHRISTIAN,I just don't understand why many people love face unlock when the fingerprint scanner works just a good 😅 .. get an iPhone if you want face unlock lol
L.R. puia,Am in the middle group
Dussa Venu,Obviously grp 1
savke1982,"Insanely huge bazels, no fast charging, price almost as regular 7...😢"
Sam,"The main advantage of pixel series is Android updates
Pixel will get first and three full updates and security update for five years

None of the brand gives this"
Ayush Vaide,"Group 3 , when 7a will bi under 30k 🌝"
Starboy Techxi,"Bro just came out from darkness, Batman"
Bidyut Bikash Das,Watching it in my Pixel 7 and I can't find any difference from my phone apart from maybe glass back.
Shahaan Mohsin,"I just don't understand Beebom's recommendation at times.
How can this be a good package at current pricing, it's priced so closed to pixel 7 (currently retailing at ₹49,999 w/o discount), which has better build + better cameras+ better charging.
Pixel 7a is definitely slightly overpriced, and people will only start getting this once the prices are slashed, just like what happened with 6a."
Harsh Tekwani,Bezels  are deal breaker for 44k
1 is Good,But confusion is 7 all ready price is 45k and 7a price is 43k ? That's mean big brother (pixel 7) is a good choice for purchase!..
sandip bajpayee,Group 1
Gilbert Cabral,Group 1 - The ideal market to be targeted is now 30k to 35k...
MD Ferdaus Al Habib,What is the name and model of the white wireless charger?
Jonas,"6:05
I'm in Group 3

Wait a few months for the price drops, just like the older pixel A phones."
Satya Singh,"Group 1,bcz I get my pixel 6a at 30k only"
Brendon Mccullum,"Will buy it next year at ₹28,000"
prem magar,Bezels👎
Anupam Dubey,It's overpriced
Ankit Dubey,Can you compare it with oneplus 11r? Because 11r is very good value for money rn.
Aniket Shaw,Lets just compromise on specs and 120 hz amoled but then pixel 7a is a good phone 😂
Ganesh Narayanan,"I have a pixel 6, after using this for a year I'm experiencing a horrible battery condition. 
It barely stands for 12 Hrs. The phone is discharging 25% of the battery overnight. 
I totally dislike the phone now."
beehack,"44k frking overpriced 
Why even launch that as 7a if price is matching with 7"
Aashish,Waiting for big billion days and great indian festival sale to buy a phone. 😅😂
Dhirender Singh,Why not go for pixel 7 by paying 5k more?
