,Comments,Comment ID
236,but a you get unlimited photos storage,211085_1
237,a has heating issue and very poor battery rest i think it is a good compact phone,976087_1
238,such a coincidence meeting this comment here for i m currently using a and thinking of jumping straight to a too,565181_1
239,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes,2928_1
240,omair ali bhutto yes absolutely though sony xperia z compact is my most favourite phone i have ever used in terms of looks amp in hand feel but this one as an quot overall phone quot is my most favourite so far,101493_1
241,wewake it s absolutely fine i miss ultrawide cam sometimes but not much as to look for a new phone only for that i m only a bit bored of it though i generally like more coloured vibrant phones the main reason that i want to switch to a or is i ll be giving my current a to my mom whose current phone nokia though still working fine has gotten quite old,474153_1
242,what s best smartphone under k k for camera for year stable use,197256_1
243,wait for the price to drop as you already own a good phone,695705_1
244,gg at k,144571_1
245,omair ali bhutto do you have the a g or the normal a,690665_1
246,nothing like a its one of the best phones i have ever used small slim compact didn t find anything like it till now,951381_1
247,how s the a doing tho,963099_1
248,as of now the discounted pixel is a better buy but pixel a will go on sale too making it the best all rounder phone under k unless you re into heavy gaming,739452_1
249,what s best smartphone under k inr for best camera,534496_1
250,will be waiting for competitor devices to launch and see where it goes i think this year will be interesting for mobile devices,105579_1
251,i m definitely gonna pay for the user experience br i have been using pixel rom on poco f for last years and i m loving it br i ve been a mi fan but now i want something clean like this one so this is gonna be my first phone that i buy from my salary probably in bbd sale,868131_1
252,when does it start bbd,112799_1
253,life story kyu bata ra eh,808451_1
254,what s best smartphone under k k for camera for year stable use,924623_1
255,i really wish that google brings gb variant too i think pixel devices for the price are solid and great devices,737129_1
256,the only downside is limited storage gb version must be an option br edit people crying and telling me that it has unlimited cloud storage then please go ahead and buy it because google discontinued unlimited free cloud storage in new devices from br edit nothing phone might be a better option let s see,902807_1
257,i am also looking for upgrade after using mi note pro for years br got good job offer br br what s best smartphones for working professional girl in engineering br i have never used iphone but i have ipad br br budget k br need good camera br br what s best smartphones for engineering professional,27464_1
