,Comments,Comment ID
279,18 w charging lol,655263_1
280,"Honestly, Pixel 7 is same price as Pixel 7a if you are selling your old phone. If old phone is worth 10k, Pixel 7 will give 3k exchange bonus. + There are HDFC card offers.
Pixel 7a= 44098-4000(Card)-10000(exchange)=30098/-
Pixel 7= 50098-6250(Card)-13000(exchange)=30848/-",679372_1
281,Using same Exynos 2100 chipset and calling it tensor 2😂,571933_1
282,🥁🥁Enters Pixel 7🥁🥁,590295_1
283,"Well I'm in group 3 - waiting for the price to go down , so we can purchase it ! 😂",847675_1
284,Pixel 6 pro available in 30K in indian second hand market,924720_1
285,Claiming 18 watt charging as ‘fast’ in 2023 is criminal and i think its still overpriced. A price around 35-40k would have been good,378421_1
286,group 2 certainly,687841_1
287,When will pixel 8 launch 😮,178221_1
288,"Everytime pixel comes with a deal breaker. This time the Bezels around the display is annoying 😢.
.
Last year im totally confused of pixel 7. And i bought for S22plus😂 and Happy..

As a pixel fan, My dream pixel is still a dream.",551457_1
289,"18W charging with a okayish battery damn whyyyy ...
At least 30w??😞",352560_1
290,this pixel will destroy nothing phone 1,797679_1
291,still group 1,905728_1
292,Does it has basic features like AppLock and other security features like passcode for restart etc,92815_1
293,Pixel 7 and 7a look quite thick in my opinion.,267540_1
294,Group 3 no money to buy it 😢,954121_1
295,Group 3 - Iphones r the best…❤,369843_1
296,Need a comparison Pixel 7 vs pixel 7a,552240_1
297,"I am in group 3, I will wait 6 months when the price will go down.",907794_1
298,CHINESE PHONES are dead now😂,549608_1
299,"I'm definitely gonna pay for the User Experience!
I have been using Pixel ROM on Poco F1 for last 2 years and I'm loving it. 
I've been a Mi Fan, but now I want something clean like this one, so this is gonna be my first phone that I buy from my salary (probably in BBD sale)",502787_1
300,In the group that'll prefer the Pixel 7 instead for ~6k more. The pricing really doesn't make sense when Pixel 7 which is clearly a better phone overall costs only 6k more.,247166_1
301,Sony xperia launch,806475_1
302,Pixel 7 purchase kr le is price me 🥲,683305_1
303,"Its kind of mehh considering the price and the huge bezels. looks really matter a lot. 
Nothing's camera experience was better than last year's 6a. Pixel Experience is what makes it unique and nothing else that proportionately.",948033_1
304,"₹36,000 to ₹30,000 best price",965469_1
305,"Will it not heat up while video recording like Pixel 6a. If it doesn't, i will not buy it",308231_1
306,"I am in group 4 who waits for price of 6a/7a to drop and while waiting the new a series is on the horizon and we thinks to ourselves to wait even more and end up never updating to pixel series. 
I have bypassed 4a, 5a, 6a and will bypass 7a also to stick with my LG G8x.",447681_1
307,Waiting for big billion days❤,237682_1
308,I am in group 2 even tho i am watching this video on an 13k phone 😂,126049_1
309,Group 1 now and in group 2 at big billion days 😂,372572_1
310,4:56 how did you get that metro shot😂?,297441_1
311,S21 Fe still a better choice,324003_1
312,"Saabji ham group 3 me, jo hai so hai, ham to le hi nahi sakte, phir bhi video dekhlete hai😂😂😢",363522_1
313,Let us know when the Price drops to under 40K,721309_1
314,5:27 7.5W wireless charging,768370_1
315,Phone looks bad. Feels like a 20k phone. Look at the bezels.,931484_1
316,wireless charging 5w,557515_1
317,"Bro those bezels are too thick, they look worse than XR AND iPhone 11",640241_1
318,"Beebom is like Sprite, "" Sidhe baat no bakwas""... I m in Group 1 till BBD",3122_1
